model,track,emotion,TP,FP,FN,TN
BiLSTM,Without Emoji,anger,219,106,96,465
BiLSTM,Without Emoji,anticipation,61,205,63,557
BiLSTM,Without Emoji,disgust,214,118,105,449
BiLSTM,Without Emoji,fear,86,130,35,635
BiLSTM,Without Emoji,joy,291,81,109,405
BiLSTM,Without Emoji,love,104,175,28,579
BiLSTM,Without Emoji,optimism,207,120,100,459
BiLSTM,Without Emoji,pessimism,61,227,39,559
BiLSTM,Without Emoji,sadness,171,190,94,431
BiLSTM,Without Emoji,surprise,22,231,13,620
BiLSTM,Without Emoji,trust,28,252,15,591
BiLSTM,With Emoji,anger,220,100,95,471
BiLSTM,With Emoji,anticipation,52,207,72,555
BiLSTM,With Emoji,disgust,219,121,100,446
BiLSTM,With Emoji,fear,68,41,53,724
BiLSTM,With Emoji,joy,309,80,91,406
BiLSTM,With Emoji,love,98,158,34,596
BiLSTM,With Emoji,optimism,221,130,86,449
BiLSTM,With Emoji,pessimism,66,254,34,532
BiLSTM,With Emoji,sadness,187,193,78,428
BiLSTM,With Emoji,surprise,18,224,17,627
BiLSTM,With Emoji,trust,19,162,24,681
Transformer,Without Emoji,anger,205,118,110,453
Transformer,Without Emoji,anticipation,49,205,75,557
Transformer,Without Emoji,disgust,190,94,129,473
Transformer,Without Emoji,fear,88,167,33,598
Transformer,Without Emoji,joy,300,123,100,363
Transformer,Without Emoji,love,71,56,61,698
Transformer,Without Emoji,optimism,200,127,107,452
Transformer,Without Emoji,pessimism,51,176,49,610
Transformer,Without Emoji,sadness,102,88,163,533
Transformer,Without Emoji,surprise,34,745,1,106
Transformer,Without Emoji,trust,13,148,30,695
Transformer,With Emoji,anger,182,78,133,493
Transformer,With Emoji,anticipation,50,159,74,603
Transformer,With Emoji,disgust,200,99,119,468
Transformer,With Emoji,fear,82,121,39,644
Transformer,With Emoji,joy,278,76,122,410
Transformer,With Emoji,love,78,58,54,696
Transformer,With Emoji,optimism,254,213,53,366
Transformer,With Emoji,pessimism,38,89,62,697
Transformer,With Emoji,sadness,177,183,88,438
Transformer,With Emoji,surprise,30,631,5,220
Transformer,With Emoji,trust,19,187,24,656
