config,micro_f1,macro_f1,label_accuracy,threshold,model,track
cfg1,52.31,46.39,73.15,0.55,LSTM,Without Emoji
cfg2,54.49,48.88,75.71,0.55,LSTM,Without Emoji
cfg3,54.66,49.06,75.64,0.55,LSTM,Without Emoji
cfg1,51.42,45.61,73.06,0.55,LSTM,With Emoji
cfg2,53.97,48.03,74.75,0.55,LSTM,With Emoji
cfg3,54.17,48.6,74.54,0.55,LSTM,With Emoji
cfg1,54.81,47.77,76.16,0.5,BERT,Without Emoji
cfg2,49.38,44.07,73.26,0.55,BERT,Without Emoji
cfg3,47.43,45.92,66.27,0.5,BERT,Without Emoji
cfg1,47.85,44.42,70.32,0.55,BERT,With Emoji
cfg2,47.59,43.73,70.51,0.55,BERT,With Emoji
cfg3,50.25,46.7,72.88,0.55,BERT,With Emoji
