model,track,emotion,auc
BiLSTM,Without Emoji,anger,0.825
BiLSTM,Without Emoji,anticipation,0.666
BiLSTM,Without Emoji,disgust,0.812
BiLSTM,Without Emoji,fear,0.86
BiLSTM,Without Emoji,joy,0.858
BiLSTM,Without Emoji,love,0.864
BiLSTM,Without Emoji,optimism,0.81
BiLSTM,Without Emoji,pessimism,0.734
BiLSTM,Without Emoji,sadness,0.752
BiLSTM,Without Emoji,surprise,0.739
BiLSTM,Without Emoji,trust,0.724
BiLSTM,With Emoji,anger,0.831
BiLSTM,With Emoji,anticipation,0.643
BiLSTM,With Emoji,disgust,0.815
BiLSTM,With Emoji,fear,0.87
BiLSTM,With Emoji,joy,0.877
BiLSTM,With Emoji,love,0.86
BiLSTM,With Emoji,optimism,0.819
BiLSTM,With Emoji,pessimism,0.752
BiLSTM,With Emoji,sadness,0.785
BiLSTM,With Emoji,surprise,0.71
BiLSTM,With Emoji,trust,0.705
Transformer,Without Emoji,anger,0.8
Transformer,Without Emoji,anticipation,0.584
Transformer,Without Emoji,disgust,0.811
Transformer,Without Emoji,fear,0.831
Transformer,Without Emoji,joy,0.833
Transformer,Without Emoji,love,0.84
Transformer,Without Emoji,optimism,0.795
Transformer,Without Emoji,pessimism,0.724
Transformer,Without Emoji,sadness,0.711
Transformer,Without Emoji,surprise,0.676
Transformer,Without Emoji,trust,0.69
Transformer,With Emoji,anger,0.822
Transformer,With Emoji,anticipation,0.63
Transformer,With Emoji,disgust,0.82
Transformer,With Emoji,fear,0.844
Transformer,With Emoji,joy,0.864
Transformer,With Emoji,love,0.85
Transformer,With Emoji,optimism,0.807
Transformer,With Emoji,pessimism,0.74
Transformer,With Emoji,sadness,0.763
Transformer,With Emoji,surprise,0.716
Transformer,With Emoji,trust,0.689
