Emotion,BiLSTM without,BiLSTM with,d BiLSTM,Transf. without,Transf. with,d Transformer,Mean d
sadness,54.6,58.0,3.35,44.8,56.6,11.8,7.58
fear,51.0,59.1,8.09,46.8,50.6,3.81,5.95
optimism,65.3,67.2,1.87,63.1,65.6,2.54,2.21
joy,75.4,78.3,2.94,72.9,73.7,0.84,1.89
love,50.6,50.5,-0.09,54.8,58.2,3.38,1.64
disgust,65.7,66.5,0.72,63.0,64.7,1.71,1.21
pessimism,31.4,31.4,-0.01,31.2,33.5,2.29,1.14
trust,17.3,17.0,-0.37,12.7,15.3,2.52,1.07
anticipation,31.3,27.2,-4.13,25.9,30.0,4.1,-0.01
anger,68.4,69.3,0.85,64.3,63.3,-0.96,-0.05
surprise,15.3,13.0,-2.28,8.4,8.6,0.27,-1.01
